SepalLengthCm_0,SepalLengthCm_1,SepalLengthCm_2,SepalLengthCm_3,SepalWidthCm_0,SepalWidthCm_1,SepalWidthCm_2,SepalWidthCm_3,PetalLengthCm_0,PetalLengthCm_1,PetalLengthCm_2,PetalLengthCm_3,PetalWidthCm_0,PetalWidthCm_1,PetalWidthCm_2,PetalWidthCm_3,Species
True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,Iris-setosa
True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,Iris-setosa
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Iris-setosa
False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Iris-setosa
False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,Iris-setosa
False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,Iris-setosa
True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Iris-setosa
True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Iris-setosa
False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,Iris-setosa
True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,Iris-setosa
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,Iris-versicolor
False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,Iris-versicolor
True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,Iris-versicolor
False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,Iris-versicolor
True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Iris-versicolor
True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,Iris-versicolor
False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,Iris-virginica
False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,Iris-virginica
False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,Iris-virginica
True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,Iris-virginica
False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,Iris-virginica
False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,Iris-virginica
False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,Iris-virginica
False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,Iris-virginica
False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,Iris-virginica
False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,Iris-virginica
False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,Iris-virginica
False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,Iris-virginica
